scheme_name,layer_count,travel_distance_mm,travel_time_s,scan_time_s,laser_on_time_s,intra_layer_total_time_s,inter_layer_change_time_s,inter_part_transfer_distance_mm,inter_part_transfer_time_s,total_task_time_s,cell_count,mu_mean,mu_top10_mean,xi_mean,xi_max,theta_mean,theta_top10_mean,phi_mean,phi_top10_mean,phi_max,scan_heat_mean,peak_heat_max,final_heat_mean,R_mu,R_xi,R_theta,R_phi,weighted_sum_total_risk,weighted_sum_rank,topsis_score,topsis_rank,material_name
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.003584953882992413,0.007769197913643007,7.750457597835978,18.294108308708417,9.891349496335634,95.379792538906,0.00027383564423321175,0.000390962753182034,0.0004319740683374129,0.0014777082589105001,0.002354337280918463,0.001957980360478692,0.007632979750184986,8.051689443255146,51.51631568945827,0.0003586664556838894,19.642664642525375,4,0.08162639871391103,4,PA12
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0035915329458760326,0.006925553362454406,8.496034478650214,18.062419579600537,6.244273080053569,61.50608983852766,0.0001873667466620926,0.00035394507997401546,0.000569143122745806,0.0014837828914829468,0.002613232525236976,0.002016827698712079,0.006817014248877123,8.769345869265434,33.15166748886932,0.000380939208016933,13.358411432609127,3,0.593975398697498,3,PA12
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0035268555692417256,0.007181995681418807,8.712774744474132,17.975900335125242,4.221553065980977,41.58229769991262,0.00019974018404306416,0.00031867047620331507,0.00039177263256755723,0.0014823843390817533,0.0025337082211015715,0.002003934486191003,0.007063002508550471,8.977422018225717,22.412780756990454,0.00030050174182094734,9.641445394528967,2,0.9303937207544091,2,PA12
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.003540298569499876,0.007160843428322609,8.713858895542838,17.903766278001324,4.160639360397221,40.98229769991262,0.00019712535727403756,0.00034344145096287386,0.0003877028515985415,0.0014834680062755748,0.002542835856358274,0.0020118856431885325,0.007042976504746087,8.976414326859866,22.089381878187694,0.00029985635871641154,9.528050082128294,1,0.9323349939885555,1,PA12
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.0005965278045874594,0.0009965844443535817,3.6788752656556083,6.322015540761652,4.053534218099425,37.877312048279336,0.0001021131347401501,0.00014578975796173996,0.00016108285087540545,0.0005510364546269673,0.0008779308503221811,0.0007301296108765649,0.0009885020021659096,3.8621512864761804,18.045707976741213,0.00013374648949948168,7.088659186177467,4,0.174415314440902,4,316L
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0006093173563044525,0.0008874478173529331,3.8659884257158943,6.201158157015846,3.6603707998563206,36.054652378584755,6.986893872528726e-05,0.00013198589154894382,0.00021223310260470342,0.0005533016811868773,0.0009744727195909076,0.0007520737452676577,0.0008818286795894177,4.0279096904796905,17.06119252094454,0.00014205198444841962,6.777211199158557,3,0.27411421286254023,3,316L
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0006040204213288969,0.0008804609577960847,3.9264728422315516,6.295124617824692,3.139228060236675,30.921396393331246,7.448298552704662e-05,0.00011883201460268587,0.0001460917614611337,0.0005527801619004305,0.0009448181579795661,0.0007472658746521114,0.0008748759619924123,4.090715760486383,14.632117135496637,0.00011205690529491183,5.939587138939821,2,0.8837204133176281,2,316L
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.0006059098643478592,0.0008782443354594223,3.926164326718368,6.287334125597239,3.0783143546529184,30.32139639333125,7.350791831497698e-05,0.00012806909507973832,0.00014457414276830202,0.0005531842606965752,0.0009482218472671183,0.0007502308559572382,0.0008727422954988901,4.08988844279952,14.348194955216595,0.00011181624235237566,5.8400484254054,1,0.9014005025023855,1,316L
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.0008781895340045674,0.0014306246276615676,3.5090485694919655,5.907469195458179,3.810037513223615,35.478869505252604,0.00015853394630443193,0.0002263433173338366,0.00025008633900262914,0.0008555019286394277,0.00136301605702499,0.0011335498495911804,0.001418525557693164,3.7013310482272956,16.45930127905303,0.00020764575329778893,6.501357273863882,4,0.19389471917627743,4,Ti-6Al-4V
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0008987150646489852,0.0012717152235787038,3.6728680709976156,5.794536655682107,3.5525956029783514,34.993066689336764,0.00010847378849360796,0.00020491236800250327,0.00032949876015438416,0.0008590187661817281,0.0015129004333858296,0.0011676188283969683,0.0012635460194985618,3.8429632119838493,16.110646742767187,0.0002205403029912961,6.407626846644932,3,0.237837025960132,3,Ti-6Al-4V
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.000891710197909445,0.0012505313234744927,3.7268350177731846,5.882341560471635,3.094084019196881,30.47672758908928,0.00011563724547470713,0.00018449054835315267,0.00022681218754018605,0.000858209090611933,0.001466860766793111,0.001160154453672372,0.001242672659254568,3.899642963332488,14.031345021069091,0.00017397197189441833,5.691191377565503,2,0.8765004452305317,2,Ti-6Al-4V
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.0008944413560851167,0.001248571992614312,3.7264684137958204,5.875061905343551,3.033170313613125,29.876727589089278,0.00011412342207250895,0.0001988314147273486,0.00022445603540586733,0.0008588364670705319,0.001472145104563398,0.0011647576831023251,0.0012408160563993284,3.898722136882012,13.755107784376547,0.00017359833488771412,5.594323714703196,1,0.8984314047881591,1,Ti-6Al-4V
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.0010475702875501873,0.0018413076487268202,4.06398909335727,7.262076988142815,4.605708582706425,43.31622953965829,0.00016048421308865237,0.000229127767376976,0.00025316287302902345,0.0008660262171855418,0.0013797837273211056,0.0011474946524012391,0.0018286408132356976,4.235584568064567,21.580228065807262,0.00021020018801023467,8.400615014855104,4,0.14358653248833422,4,AlSi10Mg
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0010661342281877613,0.0016397767178666397,4.303924985118744,7.123248537043845,3.904771235939589,38.46199667400495,0.00010980822084446479,0.0002074331769163481,0.0003335522168578267,0.0008695863184679063,0.0015315119644291498,0.001181982743954083,0.001630622260230037,4.455197614002665,19.058075350153647,0.00022325336500439766,7.5617478331476065,3,0.3717305349592113,3,AlSi10Mg
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0010550115494529235,0.001650995507211828,4.379188984439904,7.23118747966387,3.2416006249481932,31.929766155739703,0.00011705980186799214,0.00018676013033759947,0.0002296024055718915,0.0008687666823602796,0.001484905923034028,0.0011744265433308086,0.0016414845138813775,4.532214808542612,15.821328634250268,0.00017611215553382263,6.444280308637776,2,0.8975521027214541,2,AlSi10Mg
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.0010584453698161695,0.0016461330321591657,4.379012195394297,7.222238568677092,3.1806869193644367,31.3297661557397,0.00011552735558049205,0.00020127741643765528,0.00022721726831890723,0.0008694017767335393,0.0014902552681334725,0.0011790864011716898,0.001636754435027205,4.531567345619925,15.524026200707585,0.00017573392208666813,6.3400939237391665,1,0.9089165205241762,1,AlSi10Mg
center_out,12,6201.720900000001,3.4454005,2.2066666666666666,5.91,11.562067166666667,7.5,300.0,0.16666666666666666,19.228733833333333,394,0.0006106984953769265,0.0010162283593884444,3.651576540913941,6.255379453334034,4.014393437102881,37.49177535546338,0.0001054159882705501,0.0001505053336612368,0.00016629308229230017,0.0005688597513475621,0.0009063275596761005,0.0007537456830799093,0.0010079121904361522,3.8360925821437606,17.788913469666667,0.00013807252518672288,6.9935743313814696,4,0.17728052942793684,4,Inconel 718
minimum_time,12,1552.0,0.8622222222222222,2.2066666666666666,5.91,8.97888888888889,7.5,300.0,0.16666666666666666,16.645555555555557,394,0.0006239732684635569,0.0009047431059204004,3.8349453710928008,6.135795945480758,3.6430465186919765,35.88400820911597,7.212885241338776e-05,0.00013625498062328026,0.00021909779101123865,0.0005711982467534398,0.0010059920796650999,0.0007763996013977186,0.000898985380997502,3.9979929801965293,16.908832169340496,0.00014664666171035776,6.717906314050106,3,0.26695453261100277,3,Inconel 718
row_major,12,2789.6817,1.5498231666666666,2.2066666666666666,5.91,9.666489833333333,7.5,300.0,0.16666666666666666,17.3331565,394,0.0006186352760994069,0.0008964966103332219,3.89438213952682,6.228771969417478,3.1319713993116785,30.849918283220035,7.689214074815264e-05,0.00012267564098781056,0.00015081710547620235,0.0005706598589042875,0.0009753783400424307,0.0007714362200099619,0.0008907985298566331,4.0598064763858,14.53672866333589,0.00011568139049165772,5.900023407498315,2,0.882561223090582,2,Inconel 718
serpentine,12,1900.7531999999999,1.055974,2.2066666666666666,5.91,9.172640666666666,7.5,300.0,0.16666666666666666,16.839307333333334,394,0.0006205642141302442,0.000894366701260138,3.894064286606561,6.221063591496424,3.0710576937279224,30.249918283220033,7.588553494712525e-05,0.00013221149521166708,0.00014925039934451996,0.000571077028292564,0.00097889212179956,0.0007744971037569844,0.0008887518552411398,4.058964900871464,14.254003856160447,0.0001154329432963766,5.800900938437321,1,0.9008596779829642,1,Inconel 718
